contractorId,companyName,contactPerson,email,phone,createdAt,voided
3,Tech Innovations Ventures,Peter Jones,techinnovationsventures3@example.com,254783410769,2025-08-29 05:23:54,0
4,Tech Innovations Enterprises,Mary Williams,techinnovationsenterprises4@example.com,254765638814,2025-08-29 05:23:54,0
5,Coastal Pty Ltd,John Doe,coastalptyltd5@example.com,254766119664,2025-08-29 05:23:54,0
6,Green Earth Pty Ltd,John Doe,greenearthptyltd6@example.com,254720645151,2025-08-29 05:23:54,0
7,Prime Ventures,Mary Williams,primeventures7@example.com,254715027114,2025-08-29 05:23:54,0
8,Prime Enterprises,John Doe,primeenterprises8@example.com,254728861265,2025-08-29 05:23:54,0
9,Prime Ventures,Jane Smith,primeventures9@example.com,254730019182,2025-08-29 05:23:54,0
10,Coastal Ventures,Jane Smith,coastalventures10@example.com,254775972831,2025-08-29 05:23:54,0
11,Urban Holdings,Mary Williams,urbanholdings11@example.com,254728888883,2025-08-29 05:23:54,0
12,Coastal Builders,John Doe,coastalbuilders12@example.com,254723439415,2025-08-29 05:23:54,0
