userId,username,passwordHash,email,firstName,lastName,roleId,isActive,createdAt,updatedAt,voided
1,fiona01,2eebf679d102737c877e389ddb099f0abb05514e2a481b2edccb7a50f3845819,fiona01@kisumu.co.ke,Fiona,Smith,1,1,2025-08-28 16:33:50,2025-08-28 16:33:50,0
2,edward02,2eebf679d102737c877e389ddb099f0abb05514e2a481b2edccb7a50f3845819,edward02@kisumu.co.ke,Edward,Smith,3,1,2025-08-28 16:33:50,2025-08-28 16:33:50,0
3,alice03,2eebf679d102737c877e389ddb099f0abb05514e2a481b2edccb7a50f3845819,alice03@kisumu.co.ke,Alice,Wilson,3,1,2025-08-28 16:33:50,2025-08-28 16:33:50,0
4,alice04,2eebf679d102737c877e389ddb099f0abb05514e2a481b2edccb7a50f3845819,alice04@kisumu.co.ke,Alice,Miller,2,1,2025-08-28 16:33:50,2025-08-28 16:33:50,0
5,fiona05,2eebf679d102737c877e389ddb099f0abb05514e2a481b2edccb7a50f3845819,fiona05@kisumu.co.ke,Fiona,Davis,2,1,2025-08-28 16:33:50,2025-08-28 16:33:50,0
6,charlie06,2eebf679d102737c877e389ddb099f0abb05514e2a481b2edccb7a50f3845819,charlie06@kisumu.co.ke,Charlie,Evans,1,1,2025-08-28 16:33:50,2025-08-28 16:33:50,0
7,charlie07,2eebf679d102737c877e389ddb099f0abb05514e2a481b2edccb7a50f3845819,charlie07@kisumu.co.ke,Charlie,Miller,2,1,2025-08-28 16:33:50,2025-08-28 16:33:50,0
8,george08,2eebf679d102737c877e389ddb099f0abb05514e2a481b2edccb7a50f3845819,george08@kisumu.co.ke,George,Taylor,1,1,2025-08-28 16:33:50,2025-08-28 16:33:50,0
9,alice09,2eebf679d102737c877e389ddb099f0abb05514e2a481b2edccb7a50f3845819,alice09@kisumu.co.ke,Alice,Brown,1,1,2025-08-28 16:33:50,2025-08-28 16:33:50,0
10,hannah10,2eebf679d102737c877e389ddb099f0abb05514e2a481b2edccb7a50f3845819,hannah10@kisumu.co.ke,Hannah,Smith,1,1,2025-08-28 16:33:50,2025-08-28 16:33:50,0
11,hannah11,2eebf679d102737c877e389ddb099f0abb05514e2a481b2edccb7a50f3845819,hannah11@kisumu.co.ke,Hannah,Smith,3,1,2025-08-28 16:33:50,2025-08-28 16:33:50,0
12,diana12,2eebf679d102737c877e389ddb099f0abb05514e2a481b2edccb7a50f3845819,diana12@kisumu.co.ke,Diana,Jones,1,1,2025-08-28 16:33:50,2025-08-28 16:33:50,0
13,george13,2eebf679d102737c877e389ddb099f0abb05514e2a481b2edccb7a50f3845819,george13@kisumu.co.ke,George,Evans,2,1,2025-08-28 16:33:50,2025-08-28 16:33:50,0
14,bob14,2eebf679d102737c877e389ddb099f0abb05514e2a481b2edccb7a50f3845819,bob14@kisumu.co.ke,Bob,Davis,3,1,2025-08-28 16:33:50,2025-08-28 16:33:50,0
15,charlie15,2eebf679d102737c877e389ddb099f0abb05514e2a481b2edccb7a50f3845819,charlie15@kisumu.co.ke,Charlie,Smith,1,1,2025-08-28 16:33:50,2025-08-28 16:33:50,0
16,hannah16,2eebf679d102737c877e389ddb099f0abb05514e2a481b2edccb7a50f3845819,hannah16@kisumu.co.ke,Hannah,Miller,2,1,2025-08-28 16:33:50,2025-08-28 16:33:50,0
17,fiona17,2eebf679d102737c877e389ddb099f0abb05514e2a481b2edccb7a50f3845819,fiona17@kisumu.co.ke,Fiona,Jones,2,1,2025-08-28 16:33:50,2025-08-28 16:33:50,0
18,alice18,2eebf679d102737c877e389ddb099f0abb05514e2a481b2edccb7a50f3845819,alice18@kisumu.co.ke,Alice,Davis,1,1,2025-08-28 16:33:50,2025-08-28 16:33:50,0
19,hannah19,2eebf679d102737c877e389ddb099f0abb05514e2a481b2edccb7a50f3845819,hannah19@kisumu.co.ke,Hannah,Evans,1,1,2025-08-28 16:33:50,2025-08-28 16:33:50,0
20,fiona20,2eebf679d102737c877e389ddb099f0abb05514e2a481b2edccb7a50f3845819,fiona20@kisumu.co.ke,Fiona,Davis,2,1,2025-08-28 16:33:50,2025-08-28 16:33:50,0
